,cfs,date,Observation,Forecast,station,lat,lon
99,,2020-09-10 11:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
100,,2020-09-10 12:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
101,,2020-09-10 12:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
102,,2020-09-10 12:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
103,,2020-09-10 12:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
104,,2020-09-10 13:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
105,,2020-09-10 13:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
106,,2020-09-10 13:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
107,,2020-09-10 13:45:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
108,,2020-09-10 14:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
109,,2020-09-10 14:15:00-06:00,380.0,,South Fork Payette at Lowman,44.08242,-115.61313
110,,2020-09-10 14:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
111,,2020-09-10 14:45:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
112,,2020-09-10 15:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
113,,2020-09-10 15:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
114,,2020-09-10 15:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
115,,2020-09-10 15:45:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
116,,2020-09-10 16:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
117,,2020-09-10 16:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
118,,2020-09-10 16:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
119,,2020-09-10 16:45:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
120,,2020-09-10 17:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
121,,2020-09-10 17:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
122,,2020-09-10 17:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
123,,2020-09-10 17:45:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
124,,2020-09-10 18:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
125,,2020-09-10 18:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
126,,2020-09-10 18:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
127,,2020-09-10 18:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
128,,2020-09-10 19:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
129,,2020-09-10 19:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
130,,2020-09-10 19:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
131,,2020-09-10 19:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
132,,2020-09-10 20:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
133,,2020-09-10 20:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
134,,2020-09-10 20:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
135,,2020-09-10 20:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
136,,2020-09-10 21:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
137,,2020-09-10 21:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
138,,2020-09-10 21:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
139,,2020-09-10 21:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
140,,2020-09-10 22:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
141,,2020-09-10 22:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
142,,2020-09-10 22:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
143,,2020-09-10 22:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
144,,2020-09-10 23:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
145,,2020-09-10 23:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
146,,2020-09-10 23:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
147,,2020-09-10 23:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
148,,2020-09-11 00:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
149,,2020-09-11 00:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
150,,2020-09-11 00:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
151,,2020-09-11 00:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
152,,2020-09-11 01:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
153,,2020-09-11 01:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
154,,2020-09-11 01:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
155,,2020-09-11 01:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
156,,2020-09-11 02:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
157,,2020-09-11 02:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
158,,2020-09-11 02:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
159,,2020-09-11 02:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
160,,2020-09-11 03:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
161,,2020-09-11 03:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
162,,2020-09-11 03:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
163,,2020-09-11 03:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
164,,2020-09-11 04:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
165,,2020-09-11 04:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
